bibkey,title,match_confidence,score,method
azevedo2018bpmn,BPMN Model and Text Instructions Automatic Synchronization.,,,appendix section Detailed categorization: \cite keys
chen2014pewp,PEWP: Process extraction based on word position in documents,,,appendix section Detailed categorization: \cite keys
etikala2020text2dec,Text2Dec: extracting decision dependencies from natural language text for automated DMN decision modelling,,,appendix section Detailed categorization: \cite keys
etikala2021extracting,Extracting Decision Model Components from Natural Language Text for Automated Business Decision Modelling.,,,appendix section Detailed categorization: \cite keys
ferreira2017semi,A semi-automatic approach to identify business process elements in natural language texts,,,appendix section Detailed categorization: \cite keys
friedrich2010automated,Automated generation of business process models from natural language input,,,appendix section Detailed categorization: \cite keys
friedrich2011process,Process model generation from natural language text,,,appendix section Detailed categorization: \cite keys
goncalves2011let,Let me tell you a story-on how to build process models,,,appendix section Detailed categorization: \cite keys
goossens2023extracting,Extracting Decision Model and Notation models from text using deep learning techniques,,,appendix section Detailed categorization: \cite keys
halioui2018bioinformatic,Bioinformatic workflow extraction from scientific texts based on word sense disambiguation,,,appendix section Detailed categorization: \cite keys
han2020bps,A-BPS: automatic business process discovery service using ordered neurons LSTM,,,appendix section Detailed categorization: \cite keys
honkisz2018concept,A concept for generating business process models from natural language description,,,appendix section Detailed categorization: \cite keys
lopez_assisted_declarative_process,Assisted Declarative Process Creation from Natural Language Descriptions,,,appendix section Detailed categorization: \cite keys
lopez_declarative_process_discovery,Declarative Process Discovery: Linking Process and Textual Views,,,appendix section Detailed categorization: \cite keys
nasiri2023automatic,Automatic generation of business process models from user stories,,,appendix section Detailed categorization: \cite keys
neuberger2023beyond,Beyond Rule-Based Named Entity Recognition and Relation Extraction for Process Model Generation from Natural Language Text,,,appendix section Detailed categorization: \cite keys
qian2020approach,An approach for process model extraction by multi-grained text classification,,,appendix section Detailed categorization: \cite keys
quishpi2021extracting,Extracting decision models from textual descriptions of processes,,,appendix section Detailed categorization: \cite keys
sholiq2022generating,Generating BPMN diagram from textual requirements,,,appendix section Detailed categorization: \cite keys
sonbol2023machine,A Machine Translation Like Approach to Generate Business Process Model From Textual Description,,,appendix section Detailed categorization: \cite keys
vda_extracting_declarative_process,Extracting Declarative Process Models from Natural Language,,,appendix section Detailed categorization: \cite keys
