scope,sr_id,relative_path,filename,raw_chars,body_chars_after_reference_cut,raw_tokens,body_tokens_after_reference_cut,tokens_removed_by_reference_cut,reference_cut_applied,reference_cut_marker,reference_cut_line_no,gpt_5_nano_input_cost_usd,gpt_5_4_mini_input_cost_usd
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Fried2019talkinghead.md,Fried2019talkinghead.md,62919,62918,15343,15343,0,False,,,0.0007671500000000001,0.01150725
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Jonell2020lets.md,Jonell2020lets.md,45068,45067,10215,10215,0,False,,,0.00051075,0.00766125
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Li2021Robust.md,Li2021Robust.md,81325,81324,19696,19695,1,False,,,0.00098475,0.01477125
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Mirsky2021Creation.md,Mirsky2021Creation.md,126688,126687,49980,49980,0,False,,,0.002499,0.037485
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Sisman2020overview.md,Sisman2020overview.md,107985,107984,24188,24188,0,False,,,0.0012094,0.018141
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Suh2021AI.md,Suh2021AI.md,54368,54367,12439,12439,0,False,,,0.00062195,0.00932925
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Valle2021Transflower.md,Valle2021Transflower.md,66670,66669,16563,16563,0,False,,,0.00082815,0.01242225
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Wang2020DeepSonar.md,Wang2020DeepSonar.md,49775,49774,12442,12442,0,False,,,0.0006221,0.0093315
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/Zhuang2022dance.md,Zhuang2022dance.md,37445,37444,9350,9350,0,False,,,0.0004675,0.0070125
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/acemoglu2018artificial.md,acemoglu2018artificial.md,96366,96365,22709,22708,1,False,,,0.0011354000000000002,0.017031
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/agostinelli2023musiclm.md,agostinelli2023musiclm.md,41075,41074,9666,9665,1,False,,,0.00048325,0.00724875
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/ahmed2023growing.md,ahmed2023growing.md,17279,17278,3949,3948,1,False,,,0.0001974,0.002961
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/anthony2020carbontracker.md,anthony2020carbontracker.md,17671,17670,4041,4041,0,False,,,0.00020205,0.00303075
desktop_visible_refs_find_L,2307.05527,refs/2307.05527/mds/aouameur_neural_2019.md,aouameur_neural_2019.md,32400,32399,8229,8229,0,False,,,0.00041145000000000005,0.00617175
